Time,Temp oC,Temp K,TG % or wt%,"DTG % min-1, mg oC-1",DTG,DSC mW mg-1,DTA microvolt,m mg,mo - m mg,mo - mα mg,α,dα / dT % K-1,ln(β*(dα / dT)),1/T,T²,ln(β/T²)
0.0,29.51,302.66,100.0,12.212194,null,20.0012,-0.282131,10.739988,0.0,5.449005,0.0,inf,inf,0.033887,91603.0756,-8.024023
0.002083,29.51,302.66,100.025438,10.329655,null,19.9996,-0.282263,10.74272,-0.002732,5.449005,-0.000501,inf,inf,0.033887,91603.0756,-8.024023
0.004167,29.51,302.66,100.046965,10.329813,null,19.9968,-0.282493,10.745032,-0.005044,5.449005,-0.000926,inf,inf,0.033887,91603.0756,-8.024023
0.00625,29.51,302.66,100.068482,9.391743,null,19.992801,-0.282822,10.747343,-0.007355,5.449005,-0.00135,inf,inf,0.033887,91603.0756,-8.024023
0.008333,29.51,302.66,100.088045,8.452975,null,19.986002,-0.28338,10.749444,-0.009456,5.449005,-0.001735,inf,inf,0.033887,91603.0756,-8.024023
0.010417,29.51,302.66,100.105661,7.514162,null,19.978402,-0.284005,10.751336,-0.011348,5.449005,-0.002083,inf,inf,0.033887,91603.0756,-8.024023
0.0125,29.51,302.66,100.121313,6.575132,null,19.969204,-0.284761,10.753017,-0.013029,5.449005,-0.002391,inf,inf,0.033887,91603.0756,-8.024023
0.014583,29.51,302.66,100.135009,6.572457,null,19.958805,-0.285616,10.754488,-0.0145,5.449005,-0.002661,inf,inf,0.033887,91603.0756,-8.024023
0.016667,29.51,302.66,100.148706,5.632261,null,19.946806,-0.286602,10.755959,-0.015971,5.449005,-0.002931,inf,inf,0.033887,91603.0756,-8.024023
0.01875,29.51,302.66,100.160438,4.698032,null,19.934008,-0.287654,10.757219,-0.017231,5.449005,-0.003162,inf,inf,0.033887,91603.0756,-8.024023
0.020833,29.51,302.66,100.170224,4.695777,null,19.920009,-0.288804,10.75827,-0.018282,5.449005,-0.003355,0.0193,-0.546453,0.033887,91603.0756,-8.024023
0.022917,29.52,302.67,100.18001,4.693231,null,19.90602,-0.289955,10.759321,-0.019333,5.449005,-0.003548,inf,inf,0.033875,91609.1289,-8.024089
0.025,29.52,302.67,100.189786,3.759482,null,19.891622,-0.291138,10.760371,-0.020383,5.449005,-0.003741,inf,inf,0.033875,91609.1289,-8.024089
0.027083,29.52,302.67,100.197617,3.752879,null,19.878024,-0.292256,10.761212,-0.021224,5.449005,-0.003895,inf,inf,0.033875,91609.1289,-8.024089
0.029167,29.52,302.67,100.205438,2.820451,null,19.867225,-0.293143,10.762052,-0.022064,5.449005,-0.004049,inf,inf,0.033875,91609.1289,-8.024089
0.03125,29.52,302.67,100.211313,3.754681,null,19.856026,-0.294064,10.762683,-0.022695,5.449005,-0.004165,inf,inf,0.033875,91609.1289,-8.024089
0.033333,29.52,302.67,100.219134,2.819578,null,19.845627,-0.294918,10.763523,-0.023535,5.449005,-0.004319,inf,inf,0.033875,91609.1289,-8.024089
0.035417,29.52,302.67,100.22501,1.8771,null,19.835229,-0.295773,10.764154,-0.024166,5.449005,-0.004435,0.0077,-1.465338,0.033875,91609.1289,-8.024089
0.0375,29.53,302.68,100.22892,2.816131,null,19.826039,-0.296529,10.764574,-0.024586,5.449005,-0.004512,inf,inf,0.033864,91615.1824,-8.024155
0.039583,29.53,302.68,100.234786,2.819098,null,19.81804,-0.297186,10.765204,-0.025216,5.449005,-0.004628,inf,inf,0.033864,91615.1824,-8.024155
0.041667,29.53,302.68,100.240661,1.87758,null,19.810841,-0.297778,10.765835,-0.025847,5.449005,-0.004743,inf,inf,0.033864,91615.1824,-8.024155
0.04375,29.53,302.68,100.244572,1.87758,null,19.803242,-0.298402,10.766255,-0.026267,5.449005,-0.004821,inf,inf,0.033864,91615.1824,-8.024155
0.045833,29.53,302.68,100.248483,1.880998,null,19.796043,-0.298994,10.766675,-0.026687,5.449005,-0.004898,inf,inf,0.033864,91615.1824,-8.024155
0.047917,29.53,302.68,100.252403,2.815651,null,19.789244,-0.299553,10.767096,-0.027108,5.449005,-0.004975,inf,inf,0.033864,91615.1824,-8.024155
0.05,29.53,302.68,100.258268,1.87758,null,19.782445,-0.300112,10.767726,-0.027738,5.449005,-0.00509,0.0078,-1.452434,0.033864,91615.1824,-8.024155
0.052083,29.54,302.69,100.262179,0.942898,null,19.776855,-0.300572,10.768146,-0.028158,5.449005,-0.005168,inf,inf,0.033852,91621.2361,-8.024221
0.054167,29.54,302.69,100.264144,1.8771,null,19.771656,-0.300999,10.768357,-0.028369,5.449005,-0.005206,inf,inf,0.033852,91621.2361,-8.024221
0.05625,29.54,302.69,100.268054,1.87758,null,19.766456,-0.301427,10.768777,-0.028789,5.449005,-0.005283,inf,inf,0.033852,91621.2361,-8.024221
0.058333,29.54,302.69,100.271965,1.876679,null,19.761657,-0.301821,10.769197,-0.029209,5.449005,-0.00536,inf,inf,0.033852,91621.2361,-8.024221
0.060417,29.54,302.69,100.275876,1.881421,null,19.757257,-0.302183,10.769617,-0.029629,5.449005,-0.005438,inf,inf,0.033852,91621.2361,-8.024221
0.0625,29.54,302.69,100.279795,1.87758,null,19.752858,-0.302544,10.770038,-0.03005,5.449005,-0.005515,inf,inf,0.033852,91621.2361,-8.024221
0.064583,29.54,302.69,100.283706,1.876679,null,19.748459,-0.302906,10.770458,-0.03047,5.449005,-0.005592,inf,inf,0.033852,91621.2361,-8.024221
0.066667,29.54,302.69,100.287617,1.8771,null,19.744459,-0.303235,10.770878,-0.03089,5.449005,-0.005669,inf,inf,0.033852,91621.2361,-8.024221
0.06875,29.54,302.69,100.291527,1.881901,null,19.74006,-0.303596,10.771298,-0.03131,5.449005,-0.005746,inf,inf,0.033852,91621.2361,-8.024221
0.070833,29.54,302.69,100.295447,2.814779,null,19.73566,-0.303958,10.771719,-0.031731,5.449005,-0.005823,inf,inf,0.033852,91621.2361,-8.024221
