,Time,Unsubtracted Weight,Baseline Weight,Program Temperature,Sample Temperature,Approx. Gas Flow,Unsubtracted Delta T,Baseline Delta T,Unsubtracted Heat Flow,Baseline Heat Flow,Heat Flow Calibration,Unsubstracted Microvolt,R25 Diagnostic Temperature
,0,10.754488,0,31.020833,30.28,100.2,-0.237029,0,19.986004,0,1,-0.318224,-9.681
,0.002083,10.754908,0,31.020833,30.28,100.2,-0.237303,0,19.981606,0,1,-0.318585,-9.692
,0.004167,10.755328,0,31.041667,30.28,100.2,-0.23755,0,19.977607,0,1,-0.318914,-9.702
,0.00625,10.755748,0,31.0625,30.28,100.2,-0.237766,0,19.974008,0,1,-0.31921,-9.711
,0.008333,10.756169,0,31.083333,30.28,100.2,-0.238038,0,19.96961,0,1,-0.319571,-9.722
,0.010417,10.756379,0,31.104167,30.28,100.2,-0.238303,0,19.965211,0,1,-0.319933,-9.733
,0.0125,10.756799,0,31.125,30.28,100.2,-0.238597,0,19.960413,0,1,-0.320327,-9.745
,0.014583,10.757219,0,31.145833,30.28,100.2,-0.238915,0,19.955214,0,1,-0.320755,-9.758
,0.016667,10.757429,0,31.166667,30.28,100.2,-0.239233,0,19.950016,0,1,-0.321182,-9.771
,0.01875,10.75785,0,31.1875,30.28,100.2,-0.239578,0,19.944418,0,1,-0.321642,-9.785
,0.020833,10.75827,0,31.208333,30.28,100.2,-0.239918,0,19.93882,0,1,-0.322102,-9.799
,0.022917,10.75869,0,31.229167,30.28,100.2,-0.240282,0,19.932822,0,1,-0.322595,-9.814
,0.025,10.7589,0,31.25,30.28,100.2,-0.240701,0,19.926024,0,1,-0.323154,-9.831
,0.027083,10.759531,0,31.270833,30.28,100.2,-0.24117,0,19.918426,0,1,-0.323779,-9.85
,0.029167,10.759951,0,31.291667,30.28,100.2,-0.241604,0,19.911229,0,1,-0.324371,-9.868
,0.03125,10.760371,0,31.3125,30.29,100.2,-0.242123,0,19.902842,0,1,-0.325061,-9.889
,0.033333,10.760792,0,31.333333,30.29,100.2,-0.242607,0,19.894844,0,1,-0.325718,-9.909
,0.035417,10.761422,0,31.354167,30.29,100.2,-0.243097,0,19.886847,0,1,-0.326376,-9.929
,0.0375,10.761842,0,31.375,30.29,100.2,-0.243612,0,19.87845,0,1,-0.327066,-9.95
,0.039583,10.762473,0,31.395833,30.29,100.2,-0.244127,0,19.870052,0,1,-0.327756,-9.971
,0.041667,10.762893,0,31.416667,30.29,100.2,-0.244641,0,19.861655,0,1,-0.328447,-9.992
,0.04375,10.763523,0,31.4375,30.29,100.2,-0.245082,0,19.854457,0,1,-0.329038,-10.01
,0.045833,10.764154,0,31.458333,30.29,100.2,-0.245422,0,19.848859,0,1,-0.329498,-10.024
,0.047917,10.764784,0,31.479167,30.29,100.2,-0.245716,0,19.844061,0,1,-0.329893,-10.036
,0.05,10.765415,0,31.5,30.29,100.2,-0.245985,0,19.839662,0,1,-0.330254,-10.047
,0.052083,10.766045,0,31.520833,30.28,100.2,-0.246225,0,19.835653,0,1,-0.330583,-10.057
,0.054167,10.766675,0,31.541667,30.28,100.2,-0.246449,0,19.832054,0,1,-0.330879,-10.066
,0.05625,10.767306,0,31.5625,30.28,100.2,-0.246575,0,19.830055,0,1,-0.331043,-10.071
,0.058333,10.767936,0,31.583333,30.28,100.2,-0.246667,0,19.828455,0,1,-0.331175,-10.075
,0.060417,10.768777,0,31.604167,30.28,100.2,-0.246813,0,19.826056,0,1,-0.331372,-10.081
