"Time","Unsubtracted Weight","Baseline Weight","Program Temperature","Sample Temperature","Approx. Gas Flow","Unsubtracted Delta T","Baseline Delta T","Unsubtracted Heat Flow","Baseline Heat Flow","Heat Flow Calibration","Unsubstracted Microvolt","R25 Diagnostic Temperature"
"0","9.925296","0","30.104167","29.98","100.2","-0.225596","0","19.976806","0","1","-0.302577","-9.205"
"0.002083","9.925716","0","30.104167","29.98","100.2","-0.225863","0","19.972407","0","1","-0.302939","-9.216"
"0.004167","9.926136","0","30.208333","29.98","100.2","-0.226132","0","19.968008","0","1","-0.3033","-9.227"
"0.00625","9.926767","0","30.3125","29.98","100.2","-0.22645","0","19.962809","0","1","-0.303728","-9.24"
"0.008333","9.927187","0","30.416667","29.98","100.2","-0.226795","0","19.95721","0","1","-0.304188","-9.254"
"0.010417","9.927817","0","30.520833","29.98","100.2","-0.227138","0","19.951612","0","1","-0.304648","-9.268"
"0.0125","9.928448","0","30.625","29.98","100.2","-0.227481","0","19.946013","0","1","-0.305108","-9.282"
"0.014583","9.928868","0","30.729167","29.99","100.2","-0.227868","0","19.939625","0","1","-0.305634","-9.298"
"0.016667","9.929498","0","30.833333","29.99","100.2","-0.228263","0","19.933226","0","1","-0.30616","-9.314"
"0.01875","9.930129","0","30.9375","29.99","100.2","-0.228675","0","19.926428","0","1","-0.306719","-9.331"
"0.020833","9.930759","0","31.041667","29.99","100.2","-0.229144","0","19.91883","0","1","-0.307343","-9.35"
"0.022917","9.93139","0","31.145833","29.99","100.2","-0.22958","0","19.911631","0","1","-0.307935","-9.368"
"0.025","9.93202","0","31.25","29.99","100.2","-0.230024","0","19.904433","0","1","-0.308527","-9.386"
"0.027083","9.932651","0","31.354167","29.99","100.2","-0.23044","0","19.897635","0","1","-0.309086","-9.403"
"0.029167","9.933281","0","31.458333","29.99","100.2","-0.230857","0","19.890836","0","1","-0.309644","-9.42"
"0.03125","9.933911","0","31.5625","29.99","100.2","-0.231249","0","19.884438","0","1","-0.31017","-9.436"
"0.033333","9.934752","0","31.666667","29.99","100.2","-0.23159","0","19.878839","0","1","-0.31063","-9.45"
"0.035417","9.935382","0","31.770833","29.99","100.2","-0.231911","0","19.873641","0","1","-0.311058","-9.463"
"0.0375","9.936223","0","31.875","29.99","100.2","-0.232178","0","19.869242","0","1","-0.311419","-9.474"
"0.039583","9.937063","0","31.979167","29.99","100.2","-0.232399","0","19.865643","0","1","-0.311715","-9.483"
"0.041667","9.937904","0","32.083333","29.99","100.2","-0.232544","0","19.863243","0","1","-0.311912","-9.489"
"0.04375","9.938744","0","32.1875","29.99","100.2","-0.232667","0","19.861244","0","1","-0.312077","-9.494"
"0.045833","9.939585","0","32.291667","29.99","100.2","-0.232761","0","19.859644","0","1","-0.312208","-9.498"
"0.047917","9.940425","0","32.395833","29.99","100.2","-0.232833","0","19.858444","0","1","-0.312307","-9.501"
"0.05","9.941056","0","32.5","29.99","100.2","-0.232882","0","19.857644","0","1","-0.312373","-9.503"
"0.052083","9.941686","0","32.604167","29.99","100.2","-0.232958","0","19.856445","0","1","-0.312471","-9.506"
"0.054167","9.942317","0","32.708333","29.99","100.2","-0.233008","0","19.855645","0","1","-0.312537","-9.508"
"0.05625","9.942737","0","32.8125","30","100.2","-0.233053","0","19.854855","0","1","-0.312603","-9.51"
"0.058333","9.943157","0","32.916667","30","100.2","-0.233103","0","19.854056","0","1","-0.312668","-9.512"
"0.060417","9.943578","0","33.020833","30","100.2","-0.233149","0","19.853256","0","1","-0.312734","-9.514"
"0.0625","9.943998","0","33.125","30","100.2","-0.233198","0","19.852456","0","1","-0.3128","-9.516"
"0.064583","9.944208","0","33.229167","30","100.2","-0.233225","0","19.852056","0","1","-0.312833","-9.517"
"0.066667","9.944418","0","33.333333","30","100.2","-0.233246","0","19.851656","0","1","-0.312866","-9.518"
"0.06875","9.944628","0","33.4375","30","100.2","-0.233291","0","19.850856","0","1","-0.312931","-9.52"
"0.070833","9.944838","0","33.541667","30","100.2","-0.233319","0","19.850456","0","1","-0.312964","-9.521"
"0.072917","9.945048","0","33.645833","30","100.2","-0.233322","0","19.850456","0","1","-0.312964","-9.521"
"0.075","9.945259","0","33.75","30","100.2","-0.233341","0","19.850057","0","1","-0.312997","-9.522"
"0.077083","9.945259","0","33.854167","30","100.2","-0.233341","0","19.850057","0","1","-0.312997","-9.522"
"0.079167","9.945259","0","33.958333","30","100.2","-0.233364","0","19.849657","0","1","-0.31303","-9.523"
"0.08125","9.945259","0","34.0625","30","100.2","-0.233391","0","19.849257","0","1","-0.313063","-9.524"
"0.083333","9.945469","0","34.166667","30","100.2","-0.233415","0","19.848857","0","1","-0.313096","-9.525"
"0.085417","9.945469","0","34.270833","30.01","100.2","-0.233411","0","19.848867","0","1","-0.313096","-9.525"
"0.0875","9.945469","0","34.375","30.01","100.2","-0.23344","0","19.848467","0","1","-0.313129","-9.526"
"0.089583","9.945469","0","34.479167","30.01","100.2","-0.233442","0","19.848467","0","1","-0.313129","-9.526"
